age,income,hours_per_week,education_years,occupation,marital_status
56,75585.67,59,15,Admin,Married
69,44833.21,49,18,Sales,Married
46,72302.98,30,10,Tech,Married
32,49374.84,37,15,Service,Single
60,44587.81,20,17,Service,Single
25,56647.9,43,10,Service,Married
78,60136.85,17,8,Sales,Single
38,83672.94,31,12,Admin,Single
56,59793.06,17,11,Tech,Single
75,57899.17,58,9,Craft,Married
36,78942.14,24,7,Admin,Married
40,64015.81,26,17,Sales,Married
28,45335.87,32,14,Admin,Single
28,75339.56,33,6,Admin,Single
41,43905.72,54,18,Sales,Married
70,45261.29,28,18,Service,Married
53,42272.19,14,16,Service,Single
57,40956.32,41,19,Tech,Married
41,59997.6,53,9,Tech,Single
20,51131.47,10,6,Service,Divorced
39,2827.46,32,18,Craft,Single
70,50976.05,46,11,Admin,Divorced
19,47231.32,17,9,Craft,Married
41,68392.38,22,10,Admin,Married
61,46551.12,17,10,Service,Single
47,93088.87,32,14,Tech,Married
55,75951.9,52,6,Tech,Married
19,49151.34,10,18,Craft,Single
77,72244.35,54,7,Tech,Married
38,62878.18,33,18,Service,Divorced
50,58501.99,44,11,Craft,Married
29,67039.78,33,10,Admin,Married
75,55811.06,26,16,Tech,Single
39,58605.27,14,12,Sales,Married
78,67350.29,29,8,Tech,Single
61,85786.79,30,8,Admin,Married
42,58767.92,49,15,Craft,Divorced
66,48193.05,40,7,Admin,Married
44,24561.54,55,18,Sales,Single
76,84419.55,45,8,Service,Single
59,51051.37,20,15,Tech,Married
45,63022.14,24,6,Craft,Married
77,83588.61,28,10,Service,Married
33,58414.03,16,19,Admin,Married
32,52079.95,37,17,Craft,Married
79,76295.09,52,10,Service,Single
79,61911.06,14,17,Craft,Single
64,63791.58,14,16,Sales,Single
79,32152.59,39,12,Sales,Single
68,73088.73,41,9,Tech,Married
61,60633.82,17,8,Tech,Married
72,34426.16,19,6,Sales,Married
69,62276.41,47,17,Craft,Single
74,24062.11,56,13,Sales,Single
20,90129.63,41,18,Tech,Single
54,38472.18,57,8,Sales,Single
68,79176.89,37,18,Sales,Married
24,42805.67,26,7,Craft,Single
38,63403.39,40,16,Service,Married
26,41318.08,17,9,Tech,Single
56,69956.73,49,8,Craft,Divorced
35,51470.22,34,18,Sales,Married
21,62016.69,18,6,Sales,Single
42,55225.97,11,8,Service,Married
77,34515.03,24,17,Tech,Married
31,62561.6,59,7,Tech,Divorced
67,47451.44,12,13,Admin,Single
