row_idx,col_name,fault_type,old_value,new_value
0,age,drift,18.0,71.75421955903869
1,age,drift,50.0,103.75421955903869
2,age,drift,57.0,110.75421955903869
3,age,drift,27.0,80.75421955903869
4,age,drift,60.0,113.75421955903869
5,age,drift,61.0,114.75421955903869
6,age,drift,46.0,99.75421955903869
7,age,drift,30.0,83.75421955903869
8,age,drift,29.0,82.75421955903869
9,age,drift,48.0,101.75421955903869
10,age,drift,63.0,116.75421955903869
11,age,drift,19.0,72.75421955903869
12,age,drift,78.0,131.7542195590387
13,age,drift,68.0,121.75421955903869
14,age,drift,67.0,120.75421955903869
15,age,drift,52.0,105.75421955903869
16,age,drift,40.0,93.75421955903869
17,age,drift,34.0,87.75421955903869
18,age,drift,43.0,96.75421955903869
19,age,drift,25.0,78.75421955903869
20,age,drift,46.0,99.75421955903869
21,age,drift,43.0,96.75421955903869
22,age,drift,27.0,80.75421955903869
23,age,drift,43.0,96.75421955903869
24,age,drift,79.0,132.7542195590387
25,age,drift,51.0,104.75421955903869
26,age,drift,68.0,121.75421955903869
27,age,drift,58.0,111.75421955903869
28,age,drift,24.0,77.75421955903869
29,age,drift,21.0,74.75421955903869
30,age,drift,75.0,128.7542195590387
31,age,drift,70.0,123.75421955903869
32,age,drift,67.0,120.75421955903869
33,age,drift,62.0,115.75421955903869
34,age,drift,28.0,81.75421955903869
35,age,drift,46.0,99.75421955903869
36,age,drift,73.0,126.75421955903869
37,age,drift,53.0,106.75421955903869
38,age,drift,42.0,95.75421955903869
39,age,drift,38.0,91.75421955903869
40,age,drift,78.0,131.7542195590387
41,age,drift,74.0,127.75421955903869
42,age,drift,53.0,106.75421955903869
43,age,drift,27.0,80.75421955903869
44,age,drift,54.0,107.75421955903869
45,age,drift,26.0,79.75421955903869
46,age,drift,41.0,94.75421955903869
47,age,drift,52.0,105.75421955903869
48,age,drift,66.0,119.75421955903869
49,age,drift,52.0,105.75421955903869
50,age,drift,65.0,118.75421955903869
51,age,drift,53.0,106.75421955903869
52,age,drift,35.0,88.75421955903869
53,age,drift,66.0,119.75421955903869
54,age,drift,56.0,109.75421955903869
55,age,drift,49.0,102.75421955903869
56,age,drift,41.0,94.75421955903869
57,age,drift,40.0,93.75421955903869
58,age,drift,79.0,132.7542195590387
59,age,drift,49.0,102.75421955903869
60,age,drift,54.0,107.75421955903869
61,age,drift,29.0,82.75421955903869
62,age,drift,66.0,119.75421955903869
63,age,drift,72.0,125.75421955903869
64,age,drift,30.0,83.75421955903869
65,age,drift,40.0,93.75421955903869
66,age,drift,42.0,95.75421955903869
67,age,drift,52.0,105.75421955903869
68,age,drift,58.0,111.75421955903869
69,age,drift,47.0,100.75421955903869
70,age,drift,34.0,87.75421955903869
71,age,drift,66.0,119.75421955903869
72,age,drift,79.0,132.7542195590387
73,age,drift,37.0,90.75421955903869
74,age,drift,65.0,118.75421955903869
75,age,drift,42.0,95.75421955903869
76,age,drift,39.0,92.75421955903869
77,age,drift,30.0,83.75421955903869
78,age,drift,76.0,129.7542195590387
79,age,drift,36.0,89.75421955903869
80,age,drift,66.0,119.75421955903869
81,age,drift,53.0,106.75421955903869
82,age,drift,29.0,82.75421955903869
83,age,drift,78.0,131.7542195590387
84,age,drift,58.0,111.75421955903869
85,age,drift,36.0,89.75421955903869
86,age,drift,29.0,82.75421955903869
87,age,drift,26.0,79.75421955903869
88,age,drift,24.0,77.75421955903869
89,age,drift,45.0,98.75421955903869
90,age,drift,31.0,84.75421955903869
91,age,drift,48.0,101.75421955903869
92,age,drift,69.0,122.75421955903869
93,age,drift,36.0,89.75421955903869
94,age,drift,75.0,128.7542195590387
95,age,drift,64.0,117.75421955903869
96,age,drift,33.0,86.75421955903869
97,age,drift,70.0,123.75421955903869
98,age,drift,22.0,75.75421955903869
99,age,drift,52.0,105.75421955903869
100,age,drift,29.0,82.75421955903869
101,age,drift,42.0,95.75421955903869
102,age,drift,69.0,122.75421955903869
103,age,drift,76.0,129.7542195590387
104,age,drift,38.0,91.75421955903869
105,age,drift,53.0,106.75421955903869
106,age,drift,70.0,123.75421955903869
107,age,drift,40.0,93.75421955903869
108,age,drift,33.0,86.75421955903869
109,age,drift,74.0,127.75421955903869
110,age,drift,56.0,109.75421955903869
111,age,drift,62.0,115.75421955903869
112,age,drift,70.0,123.75421955903869
113,age,drift,59.0,112.75421955903869
114,age,drift,75.0,128.7542195590387
115,age,drift,56.0,109.75421955903869
116,age,drift,31.0,84.75421955903869
117,age,drift,48.0,101.75421955903869
118,age,drift,75.0,128.7542195590387
119,age,drift,22.0,75.75421955903869
120,age,drift,52.0,105.75421955903869
121,age,drift,40.0,93.75421955903869
122,age,drift,46.0,99.75421955903869
123,age,drift,60.0,113.75421955903869
124,age,drift,28.0,81.75421955903869
125,age,drift,35.0,88.75421955903869
126,age,drift,64.0,117.75421955903869
127,age,drift,29.0,82.75421955903869
128,age,drift,26.0,79.75421955903869
129,age,drift,27.0,80.75421955903869
130,age,drift,75.0,128.7542195590387
131,age,drift,61.0,114.75421955903869
132,age,drift,34.0,87.75421955903869
133,age,drift,78.0,131.7542195590387
134,age,drift,55.0,108.75421955903869
135,age,drift,24.0,77.75421955903869
